name,No Data Processing,No Data Processing,No Data Processing,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA,Using Normalisation,Using Normalisation,Using Normalisation,Using PCA,Using PCA,Using PCA,Using Transform,Using Transform,Using Transform
cluster_size,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5
Silhouette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calinski-Harabasz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davies-Bouldin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
