name,No Data Processing,No Data Processing,No Data Processing,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA,Using Normalisation,Using Normalisation,Using Normalisation,Using PCA,Using PCA,Using PCA,Using Transform,Using Transform,Using Transform
cluster_size,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5
Silhouette,0.2443,0.2537,0.1995,0.1426,0.1123,0.0921,0.1426,0.1123,0.0921,0.1624,0.1193,0.1062,0.2443,0.2537,0.1995,0.5585,0.5403,0.5543
Calinski-Harabasz,174.0719,154.4552,145.7324,39.0832,35.3045,31.181,39.0832,35.3045,31.181,40.7073,37.7609,32.7531,174.0719,154.4552,145.7324,781.6421,877.0004,951.6959
Davies-Bouldin,1.2725,1.1425,1.2998,2.1858,2.231,2.4554,2.1858,2.231,2.4554,2.0277,2.1313,2.285,1.2725,1.1425,1.2998,0.5343,0.5204,0.5235
